央视by杨燕晖,#genre#
CCTV1HD,http://内网IP/udp/239.253.254.77:8000
CCTV2HD,http://内网IP/udp/239.253.254.232:8000
CCTV3HD,http://内网IP/udp/239.253.254.191:8000
CCTV4HD, http://内网IP/udp/239.253.254.111:8000
CCTV5HD, http://内网IP/udp/239.253.254.192:8000
CCTV5+HD,http://内网IP/udp/239.253.254.80:8000
CCTV6HD,http://内网IP/udp/239.253.254.193:8000
CCTV7HD, http://内网IP/udp/239.253.254.233:8000
CCTV8HD,http://内网IP/udp/239.253.254.194:8000
CCTV9HD,http://内网IP/udp/239.253.254.79:8000
CCTV10HD,http://内网IP/udp/239.253.254.234:8000
CCTV11HD,http://内网IP/udp/239.253.254.169:8000
CCTV12HD,http://内网IP/udp/239.253.254.235:8000
CCTV13HD,http://内网IP/udp/239.253.254.175:8000
CCTV14HD,http://内网IP/udp/239.253.254.236:8000
CCTV15HD,http://内网IP/udp/239.253.254.170:8000
CCTV17HD,http://内网IP/udp/239.253.254.168:8000

卫视频道,#genre#
浙江卫视HD,http://内网IP/udp/239.253.254.84:8000
湖南卫视HD,http://内网IP/udp/239.253.254.82:8000
江苏卫视HD,http://内网IP/udp/239.253.254.83:8000
东方卫视HD,http://内网IP/udp/239.253.254.86:8000
北京卫视HD,http://内网IP/udp/239.253.254.85:8000
山东卫视HD,http://内网IP/udp/239.253.254.78:8000
广东卫视HD,http://内网IP/udp/239.253.254.90:8000
深圳卫视HD,http://内网IP/udp/239.253.254.91:8000
安徽卫视HD,http://内网IP/udp/239.253.254.87:8000
黑龙江卫视HD,http://内网IP/udp/239.253.254.93:8000
湖北卫视HD,http://内网IP/udp/239.253.254.88:8000
辽宁卫视HD,http://内网IP/udp/239.253.254.92:8000
东南卫视HD,http://内网IP/udp/239.253.254.105:8000
天津卫视HD,http://内网IP/udp/239.253.254.89:8000
贵州卫视HD,http://内网IP/udp/239.253.254.113:8000
#江西卫视HD,http://内网IP/udp/239.253.254.47:8000
河北卫视HD,http://内网IP/udp/239.253.254.112:8000
陕西卫视, http://内网IP/udp/239.253.254.49:8000
重庆卫视HD,http://内网IP/udp/239.253.254.38:8000
甘肃卫视HD,http://内网IP/udp/239.253.254.176:8000
四川卫视HD,http://内网IP/udp/239.253.254.180:8000
河南卫视HD,http://内网IP/udp/239.253.254.190:8000
青海卫视HD,http://内网IP/udp/239.253.254.195:8000
广西卫视HD,http://内网IP/udp/239.253.254.197:8000
云南卫视HD,http://内网IP/udp/239.253.254.196:8000
中国教育1台HD,http://内网IP/udp/239.253.254.110:8000
旅游卫视HD,http://内网IP/udp/239.253.254.179:8000
山西卫视,http://内网IP/udp/239.253.254.48:8000
吉林卫视,http://内网IP/udp/239.253.254.46:8000
内蒙古卫视,http://内网IP/udp/239.253.254.58:8000
宁夏卫视,http://内网IP/udp/239.253.254.53:8000
新疆卫视,http://内网IP/udp/239.253.254.60:8000
西藏卫视,http://内网IP/udp/239.253.254.56:8000
金鹰卡通,http://内网IP/udp/239.253.254.62:8000
卡酷动画,http://内网IP/udp/239.253.254.61:8000
优漫卡通,http://内网IP/udp/239.253.254.64:8000
哈哈炫动,http://内网IP/udp/239.253.254.63:8000

山东频道,#genre#
山东体育HD,http://内网IP/udp/239.253.254.22:8000
山东齐鲁HD,http://内网IP/udp/239.253.254.114:8000
山东公共HD,http://内网IP/udp/239.253.254.23:8000
山东综艺HD,http://内网IP/udp/239.253.254.159:8000
山东生活HD,http://内网IP/udp/239.253.254.151:8000
山东影视HD,http://内网IP/udp/239.253.254.160:8000
山东少儿HD,http://内网IP/udp/239.253.254.25:8000
山东农科HD,http://内网IP/udp/239.253.254.24:8000
山东教育HD,http://内网IP/udp/239.253.254.59:8000
山东国际, http://内网IP/udp/239.253.254.26:8000
QTV1,http://内网IP/udp/239.253.254.249:8000
QTV2,http://内网IP/udp/239.253.254.250:8000
QTV3,http://内网IP/udp/239.253.254.251:8000
QTV4,http://内网IP/udp/239.253.254.252:8000
QTV5,http://内网IP/udp/239.253.254.253:8000
QTV6,http://内网IP/udp/239.253.254.254:8000
